|id|category|place_name|distance|x|y
0|0|PK6|여주프리미엄아울렛 B주차장|155|127.613596810081|37.2408599608713
1|0|PK6|신세계프리미엄아울렛 여주점 주차장A|246|127.6125798892741|37.239978610517596
2|0|PK6|여주프리미엄아울렛 D주차장|91|127.613671102469|37.2427949917445
3|0|PK6|여주프리미엄아울렛 E주차장|322|127.612697684921|37.2450634230512
4|0|PK6|여주프리미엄아울렛 H주차장|422|127.609135538444|37.2399423162801
5|0|FD6|명품여주천서리막국수 여주프리미엄아울렛점|292|127.61044055586449|37.24049784009405
6|0|FD6|여내울 수월정|549|127.611325472715|37.246944659944
7|0|FD6|미즈컨테이너|25|127.61325872005|37.2422520040974
8|0|FD6|바오차이 여주프리미엄아울렛점|307|127.610293566487|37.24043822859297
9|0|FD6|여주프리미엄아울렛 테이스트빌리지|15|127.613138061376|37.2422436185985
10|0|CE7|스타벅스 여주프리미엄입구점|137|127.612520468203|37.2409916776841
11|0|CE7|하프커피 여주프리미엄아울렛점|25|127.613211876432|37.2423126157994
12|0|CE7|폴바셋 신세계여주프리미엄아울렛점|408|127.60991352980653|37.23942922864489
13|0|CE7|공차 여주아울렛점|446|127.61056989868243|37.23864915648351
14|0|CE7|애플키즈카페 여주프리미엄아울렛점|116|127.61219866838|37.2413348328224
15|1|PK6|벨라시타 주차장|45|126.791680415927|37.641684784504
16|1|PK6|백석역 환승공영주차장|388|126.78733084860265|37.64083100120048
17|1|PK6|고양종합터미널 주차장|201|126.789658264703|37.643177728989
18|1|PK6|신선설농탕 일산백석점 주차장|341|126.78831931615169|37.64386008095409
19|1|PK6|백석동제1공영주차장|390|126.787312779364|37.6408102460191
20|1|FD6|속초면옥 백석점|186|126.79065495169398|37.64049637475056
21|1|FD6|삿뽀로 백석점|440|126.786797567605|37.6434753241368
22|1|FD6|소플러스 일산점|643|126.784805138758|37.6444339559767
23|1|FD6|돈츄|473|126.78820603954644|37.64544560669971
24|1|FD6|도도해|679|126.784462377591|37.6446315463872
25|1|CE7|타르타르 일산백석점|263|126.78928988764484|37.6404164601352
26|1|CE7|스타벅스 백석중앙로점|99|126.791023413429|37.6412232203009
27|1|CE7|스타벅스 백석역DT점|427|126.7872426209937|37.64395725225175
28|1|CE7|37.5 일산백석점|418|126.78872295156624|37.6389666652883
29|1|CE7|비엔나커피하우스 일산백석렌트점|290|126.790221133826|37.6444797500121
30|2|PK6|새물결 노상공영주차장|168|126.92465593026357|37.55661452380317
31|2|PK6|노상공영주차장|325|126.92742618046229|37.5557323806709
32|2|PK6|경남1공영주차장|354|126.91984582076294|37.55465799404024
33|2|PK6|동교3공영주차장|344|126.92726231005658|37.556658505101176
34|2|PK6|연남노상공영주차장|644|126.924104786918|37.5610587886339
35|2|FD6|하이디라오 홍대지점|231|126.924760602353|37.5571921297692
36|2|FD6|프리모바치오바치 홍대본점|53|126.923703730493|37.5547839866237
37|2|FD6|감성타코 홍대점|283|126.922723389993|37.5528516100497
38|2|FD6|황곱 홍대점|281|126.926395323228|37.5567246416086
39|2|FD6|조선시대|353|126.92150590347114|37.55264537945837
40|2|CE7|놀숲플러스 홍대점|325|126.92125755712593|37.55312634693567
41|2|CE7|벌툰 봉화당 홍대입구역점|178|126.925146143059|37.5564499530999
42|2|CE7|벌툰 인더스트리얼 홍대본점|611|126.92007762539521|37.550604561853106
43|2|CE7|943킹스크로스|365|126.92080390282435|37.55297827989159
44|2|CE7|무신사테라스|365|126.92649844260333|37.5577446346546
45|3|PK6|도산공원공영주차장|315|127.03551653311649|37.5230412388766
46|3|PK6|도산대로45길 공영주차장|351|127.034371883138|37.5234091865742
47|3|PK6|도산대로45길 노상공영주차장|303|127.035792551411|37.523030343521
48|3|PK6|더채플앳청담 주차장|398|127.03921975321181|37.522139064596765
49|3|PK6|선릉로146길 공영노상주차장|499|127.04085535900613|37.521858298303776
50|3|FD6|카츠바이콘반|111|127.03646084537056|37.52479790585425
51|3|FD6|까폼 본점|81|127.037992615362|37.5248568891934
52|3|FD6|뱃고동|165|127.03804340336|37.5268498895352
53|3|FD6|호족반 청담|61|127.036739456853|37.5254483431286
54|3|FD6|도산분식 압구정점|197|127.037887949723|37.5236928277641
55|3|CE7|꽁티드툴레아 도산점|50|127.036888842603|37.5255636248427
56|3|CE7|노티드 청담|155|127.038236626868|37.52418466271341
57|3|CE7|카페캠프통|258|127.035287631748|37.527016529432
58|3|CE7|도산맘마|251|127.03464454122|37.5259138933359
59|3|CE7|고센클래식|357|127.041459017307|37.5251945000821
60|4|PK6|서울숲 공영주차장|542|127.042739907898|37.5415562208691
61|4|PK6|성동구민종합체육센터 부설주차장|130|127.04410806102328|37.54563724499372
62|4|PK6|뚝섬유수지 공영주차장|394|127.04149979268718|37.54978368579327
63|4|PK6|서울숲A타워 주차장|478|127.048432209437|37.5461959719936
64|4|PK6|성수1가1동 공영주차장|780|127.04636882784|37.5399294480078
65|4|FD6|제스티살룬 성수|134|127.04244685499071|37.547564189547295
66|4|FD6|대성갈비|115|127.044087398228|37.5470590290817
67|4|FD6|호호식당 성수동점|110|127.04386340878831|37.54717624234943
68|4|FD6|할머니의레시피|30|127.04308654785041|37.54617281557421
69|4|FD6|온량|63|127.043440031512|37.5469079011998
70|4|CE7|블루보틀 성수 카페|294|127.04564285335792|37.548088279686716
71|4|CE7|센터커피 서울숲점|124|127.041620213638|37.5465517610819
72|4|CE7|로우커피스탠드|328|127.04663357436208|37.54715716085294
73|4|CE7|5TO7|47|127.043321867062|37.5460826295749
