id|brandNm|product|location|date|post_date|origin_data_index|start_ymd|end_ymd|date_diff|address_name|address|x|y
132|메리어트|팝업스토어|성수동|03.05(토)-03.18(금)|2022-03-09|190.0|20220305|20220318|13|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
133|도구리 포춘살롱|운세 체험|성동구 서울숲길 50|04.11(화)-04.23(일)|2023-04-21|191.0|20230411|20230423|12|프로젝트렌트 2호점|서울 성동구 서울숲길 50|127.042974381639|37.5479027742714
134|마지셔우드|제품|용산구 이태원로 241 비이커 한남|07.07(목)-07.20(수)|2022-07-15|193.0|20220707|20220720|13|비이커 한남점|서울 용산구 이태원로 241|127.000009051592|37.5366192665732
135|디즈니|굿즈|성동구 서울숲4길 20|04.06(목) -04.23(일)|2023-04-14|195.0|20230406|20230423|17|인생네컷 서울숲점|서울 성동구 서울숲4길 20|127.043010183447|37.547189170196
136|라네즈|워터뱅크|성수|03.22(화)-04.21(목)|2022-03-29|197.0|20220322|20220421|30|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
137|다꾸인원더랜드|다꾸제품, 다꾸스티커, 마스킹테이프, 휴대폰케이스|롯데월드 아트리움|07.06 - 07.16|2020-07-09|199.0|20200706|20200716|10|아트리움|서울 송파구 송파대로42길 40|127.111407835534|37.5067660626364
138|알리익스프레스|팝업스토어|강남구 영동대로 513, 코엑스 Kpop광장|03.09(목)-03.12(일)|2023-03-10|200.0|20230309|20230312|3|코엑스|서울 강남구 영동대로 513|127.05882784390123|37.51266138067201
139|잔망 루피|굿즈|현대백화점 신촌점 유플렉스 지하 2층|09.02(목)-09.12(일)|2021-09-07|201.0|20210902|20210912|10|현대백화점유플렉스 신촌점|서울 서대문구 연세로 13|126.93661730245256|37.55673777941326
140|불리 1803|향수, 종이 비누, 디퓨저 등등|신세계백화점 강남점|11.08(금) ~ 11.10(일)|2019-11-08|202.0|20191108|20191110|2|신세계백화점 강남점|서울 서초구 신반포로 176|127.00432032924516|37.505305732081965
141|링크 플레이스|가구|신세계백화점 강남점 9층|1월 31일 - 2월 20일|2020-02-04|203.0|20200131|20200220|20|신세계백화점 강남점|서울 서초구 신반포로 176|127.00432032924516|37.505305732081965
142|안젤라코코|반려견 의류|롯데백화점 일산점|2월 7일 - 2월 13일|2020-02-07|205.0|20200207|20200213|6|롯데백화점 일산점|경기 고양시 일산동구 중앙로 1283|126.77213362798275|37.66047104881414
143|꼬노꼬노|아동한복|롯데백화점 잠실점|1/25~2/3|2019-01-25|206.0|20190125|20190203|9|롯데백화점 잠실점|서울 송파구 올림픽로 240|127.0985552869803|37.51201141930842
144|조이먼트|모자|압구정 갤러리아|3/1~3/31|2019-03-15|207.0|20190301|20190331|30|갤러리아백화점 WEST점|서울 강남구 압구정로 343|127.04014394421372|37.52842774945761
145|메타|팝업스토어|성수|10.29(토)-11.06(일)|2022-11-01|208.0|20221029|20221106|8|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
146|레드애플|애플파이|롯데백화점 본점 지하 1층|03.08(월)-03.21(일)|2021-03-12|209.0|20210308|20210321|13|고디바 롯데본점|서울 중구 을지로 30|126.981794859925|37.5650533709053
147|캐리어에어컨|에어컨|성수|06.01(수)-07.31(일)|2022-06-08|210.0|20220601|20220731|60|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
148|발렌타인|위스키|더현대서울|02.24(수)-03.21(일)|2021-03-16|211.0|20210224|20210321|25|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
149|크로플하우스|크로플|롯데백화점 부산본점|03.23(화)-04.18(일)|2021-03-26|214.0|20210323|20210418|26|롯데백화점 부산본점|부산 부산진구 가야대로 772|129.05641460694002|35.15679136281396
150|스푼즈|굿즈|가로수길|4/27~5/6|2019-04-30|215.0|20190427|20190506|9|Apple 가로수길|서울 강남구 가로수길 43|127.02272940977892|37.520819816124934
151|더 히스토리 오브 후|피부 관리 제품|롯데백화점 본점 1층|10.28 - 11.3|2019-10-30|216.0|20191028|20191103|6|롯데백화점 본점|서울 중구 남대문로 81|126.98175414832635|37.564905601247865
152|누공삼 x 킨록바이킨록앤더슨|패션|중구 을지로35길 51-4, 5층 누공삼|05.12(금)-05.14(일)|2023-05-12|217.0|20230512|20230514|2|누공삼|서울 중구 을지로35길 51-4|127.001358327438|37.5690605943379
153|코코클로젯|의류|잠실 롯데월드몰 1층|2월 14일(금) - 3월 12일(목)|2020-02-20|219.0|20200214|20200312|27|롯데월드타워&롯데월드몰|서울 송파구 올림픽로 300|127.104079482694|37.5136519138098
154|품에정원|반려식물, 꽃|망원한강공원|3/27~4/4|2019-03-31|220.0|20190327|20190404|8|망원한강공원|서울 마포구 마포나루길 467|126.900027640945|37.5517245459018
155|구찌|전시회|동대문 DDP|03.04(금)-03.27(일)|2022-03-08|221.0|20220304|20220327|23|DDP PLAN|서울 동대문구 답십리로 130|127.052401269139|37.5728547763305
156|무주산골영화제|굿즈|성수|03.31(목)-04.09(토)|2022-04-06|222.0|20220331|20220409|9|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
157|소공원(롯데백 본점)|꽃팝업스토어|소공원|2/22~5/31|2019-03-12|223.0|20190222|20190531|98|소공원|부산 해운대구 재송동 74-1|129.131550499286|35.1838026475291
158|자빈드 서울|Hugging|성수|06.24(금)-07.07(목)|2022-07-04|224.0|20220624|20220707|13|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
159|노리타케|굿즈|강남역 29cm|3/25~4/8|2019-03-25|232.0|20190325|20190408|14|29CM|서울 강남구 선릉로93길 35|127.045720276867|37.5043752347879
160|JMT|비파티세리|압구정 갤러리아west|5/10~5/23|2019-05-22|233.0|20190510|20190523|13|갤러리아백화점 WEST점|서울 강남구 압구정로 343|127.04014394421372|37.52842774945761
161|우영우|['굿즈', '우영우 김밥', '포토박스', '우영우체통', '틀린 그림 찾기 게임']|경기 의왕시 바라산로 1, 롯데프리미엄아울렛 타임빌라스 1층|11.02(수)-11.13(일)|2022-11-10|234.0|20221102|20221113|11|롯데프리미엄아울렛 타임빌라스|경기 의왕시 바라산로 1|127.00966453587901|37.37618093032447
162|슷|문구완구|을지로지하상가|8/16~9/11|2019-08-17|236.0|20190816|20190911|26|을지로지하상가|서울 중구 을지로 지하 106|126.989758599285|37.5662256252258
163|폼이|굿즈|종로구 필운대로 6-1, 2층|2월 14일 - 3월 8일|2020-02-17|237.0|20200214|20200308|23|원모어백|서울 종로구 필운대로 6-1|126.969375665272|37.5766484135984
164|신라면X제페토|카페테리아|성동구 연무장15길 11 에스팩토리 A동|01.09(월)-02.08(수) *1/22, 23 휴무|2023-01-11|239.0|20230109|20230208|30|에스팩토리 A동|서울 성동구 연무장15길 11|127.05890018000206|37.54280886352306
165|올라프|굿즈|용산구 회나무로6길 17|19.11.07 ~ 20.01.31|2019-11-21|240.0|20191107|20200131|85|노마드타투 이태원점|서울 용산구 회나무로6길 17|126.988857264176|37.538139629567
166|에스더버니|팝업스토어|신촌 현대백화점 유플렉스 B2층 팝 스트리트|11.8 ~ 11.24|2019-11-20|241.0|20191108|20191124|16|현대백화점유플렉스 신촌점|서울 서대문구 연세로 13|126.93661730245256|37.55673777941326
167|크림차|블렌드 티|성동구 서울숲길 50|11.30(수)-12.25(일)|2022-12-13|242.0|20221130|20221225|25|프로젝트렌트 2호점|서울 성동구 서울숲길 50|127.042974381639|37.5479027742714
168|코알라에코|리빙|대구신세계백화점|8/8~9/4|2019-08-26|243.0|20190808|20190904|27|신세계백화점 대구점|대구 동구 동부로 149|128.6289648557988|35.8777969311124
169|유니콘마켓|플리마켓|롯데몰 은평점 1층|7/19~7/26|2019-07-19|244.0|20190719|20190726|7|롯데몰 은평점|서울 은평구 통일로 1050|126.917745736334|37.637627926333
170|골든듀|주얼리|현대백화점 판교|6/25~7/7|2019-06-27|246.0|20190625|20190707|12|현대백화점 판교점|경기 성남시 분당구 판교역로146번길 20|127.11204751299005|37.39279718014944
171|르세라핌|굿즈, 디저트, 의류, 액세서리, 음료|성수|04.26(수)-05.07(일)|2023-05-02|247.0|20230426|20230507|11|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
172|T1|다양한 제품|송파구 올림픽로 300 잠실 롯데월드몰 B1층|01.16(월)-02.15(수)|2023-01-23|248.0|20230116|20230215|30|호카 롯데월드몰 잠실점|서울 송파구 올림픽로 300|127.104133720427|37.5136122218451
173|바이얼민스|스트릿 브랜드|롯데백화점 평촌점 5F 이벤트존|2월 6일 - 2월 16일|2020-02-06|249.0|20200206|20200216|10|롯데백화점 평촌점|경기 안양시 동안구 시민대로 180|126.95046566549613|37.39022151853505
174|다꾸인원더랜드|다꾸용품|롯데몰 수원|07.24 - 07.30|2020-07-27|250.0|20200724|20200730|6|롯데몰 수원점|경기 수원시 권선구 세화로 134|126.99729885128|37.2639881931194
175|갓생기획실|굿즈|DDP|10.14-11.13|2022-10-17|252.0|20221014|20221113|30|DDP패션몰|서울 중구 마장로 22|127.012156747242|37.5673174505789
176|제니아테일러|제품|성수 LCDC 서울|04.18(월)-04.24(일)|2022-04-19|253.0|20220418|20220424|6|LCDC서울|서울 성동구 연무장17길 10|127.06154597509|37.5417353247515
177|할머니학화호두과자|호두과자|신세계 충청|7/26~8/15|2019-08-02|255.0|20190726|20190815|20|신세계백화점 천안아산점|충남 천안시 동남구 만남로 43|127.15606633618994|36.81948953261511
178|센카|<지우는 연구소>|성동구 서울숲 2길 42, 갤러리 더봄|05.20(토)-05.29(월)|2023-05-16|256.0|20230520|20230529|9|갤러리더봄|서울 성동구 서울숲2길 42|127.043140957778|37.5463349755257
179|에고이스트|데님|롯데백화점 본점|3/29~4/14|2019-04-07|258.0|20190329|20190414|16|롯데백화점 본점|서울 중구 남대문로 81|126.98175414832635|37.564905601247865
180|까사미아|리빙&라이프스타일|신세계백화점 강남|5/17~6/6|2019-05-27|259.0|20190517|20190606|20|신세계백화점 강남점|서울 서초구 신반포로 176|127.00432032924516|37.505305732081965
181|벤앤제리스|아이스크림|연남동|09.20~10.16|2019-10-11|262.0|20190920|20191016|26|하루필름 연남점|서울 마포구 동교로46길 40|126.926725005048|37.5621542536479
182|센트레코트|테니스 용품, 의류, 디지털 acc|강남구 논현로159길 22-1 플레이달록|12.17(금)-01.31(월)|2021-12-27|26.0|20211217|20220131|45|플레이달록|서울 강남구 논현로159길 22-1|127.026018628013|37.5230941692676
183|제주맥주||전포동|12/15~05/31|2018-12-21|134.0|20181215|20190531|167|황령산 봉수대|부산 부산진구 전포동 50-1|129.081975486375|35.1572485849507
184|자빈드 서울|코스메틱|서울숲|03.31(목)-4.24(일)|2022-04-15|264.0|20220331|20220424|24|서울숲|서울 성동구 성수동1가 678-1|127.037617759165|37.5443222301513
185|쿠키런|굿즈|여주, 시흥, 파주|11.19(토)-01.15(일)|2022-11-25|265.0|20221119|20230115|57|시흥식당|경기 여주시 흥천면 효자로 169|127.539857209418|37.3333365811166
186|프렐류드|문구|성동구 서울숲길 43|10.30 - 11.13|2019-11-05|267.0|20191030|20191113|14|메쉬커피|서울 성동구 서울숲길 43|127.042453959446|37.5481192022199
187|벤자민무어|페인트|영등포구 여의대로 108 더현대 서울 B1층|05.27(금)-06.02(금)|2022-05-31|268.0|20220527|20220602|6|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
188|스위트스팟x브랜디|여성의류|강남역|1/28~2/28|2019-01-29|269.0|20190128|20190228|31|강남역 2호선|서울 강남구 강남대로 지하 396|127.02800140627488|37.49808633653005
189|텐바이텐|디즈니 제품|롯데월드몰 1층 스위트스팟|7/8~8/4|2019-07-09|270.0|20190708|20190804|27|롯데월드타워|서울 송파구 올림픽로 300|127.10255558658325|37.51260447840551
190|폴310|빵|신세계백화점 센텀시티점|10.24~11.30|2019-11-15|273.0|20191024|20191130|37|신세계백화점 센텀시티점|부산 해운대구 센텀남대로 35|129.12907174004943|35.16864392798528
191|안젤라코코|반려견|신세계 영등포점 B2층 스위트스팟 매장|4월 3일 - 4월 16일|2020-04-14|274.0|20200403|20200416|13|신세계백화점 타임스퀘어점|서울 영등포구 영중로 9|126.90561074423691|37.51718207734634
192|포켓몬|팝업스토어|판교 현대백화점 4층|03.04(금)~03.14(월)|2022-03-04|275.0|20220304|20220314|10|현대백화점 판교점|경기 성남시 분당구 판교역로146번길 20|127.11204751299005|37.39279718014944
193|디즈니|굿즈|용인시 수지구 성복2로 38|19.12.27(금) - 20.1.17(금)|2019-12-27|278.0|20191227|20200117|21|롯데마트 롯데몰수지점|경기 용인시 수지구 성복2로 38|127.08219164583834|37.31216163687883
194|텐바이텐|다이어리, 마스킹테잎, 포스트잇|경기 성남시 분당구 판교역로146번길 20 5층 현대백화점 판교점 5층|19.12.13-20.1.9|2019-12-17|279.0|20191213|20200109|27|현대백화점 판교점|경기 성남시 분당구 판교역로146번길 20|127.11204751299005|37.39279718014944
195|하이트 진로|팝업스토어|강남구 강남대로 420|01.20(금)-03.05(일)|2023-02-20|280.0|20230120|20230305|44|두껍상회 강남|서울 강남구 강남대로 420|127.02704431689625|37.50018049799446
196|아모프레|남성복|더현대서울 지하2층|10.08-10.21|2021-10-15|282.0|20211008|20211021|13|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
197|그레인로쉐|과자|강남대로 162길 45, 포토매틱샵|02.08(수)-02.21(화)|2023-02-09|283.0|20230208|20230221|13|포토매틱샵|서울 강남구 강남대로162길 45|127.021986300064|37.52114521884
198|쏘나타|팝업|성동구 성수이로20길 57|04.19(수)-04.26(수)|2023-04-18|284.0|20230419|20230426|7|레이어57|서울 성동구 성수이로20길 57|127.06281810924|37.542091450707
199|타바스코|굿즈|성수|12.07(수)-12.29(목)|2022-12-28|285.0|20221207|20221229|22|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
200|이랜드|키즈&코스매틱|DDMC|4/22~4/26|2019-04-23|286.0|20190422|20190426|4|상암DDMC|서울 마포구 매봉산로 75|126.892859814848|37.5784453978311
201|시그니처스토어|플리마켓|롯데몰 수원|2/22~2/28|2019-02-22|287.0|20190222|20190228|6|롯데몰 수원점|경기 수원시 권선구 세화로 134|126.99729885128|37.2639881931194
202|캘리포니아 클럽도넛|도넛|더현대서울 지하1층|06.25(금)-07.04(일)|2021-06-29|288.0|20210625|20210704|9|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
203|브라이언베리|의류|서울 마포구 동교로29길 34, 연남방앗간|3월 31일 - 4월 26일|2020-04-02|290.0|20200331|20200426|26|연남방앗간|서울 마포구 동교로29길 34|126.923162089564|37.5620564830099
204|반클리프 아펠|주얼리&워치|중구 을지로 281, DDP 아트홀 1관|01.08(일)-01.28(토)|2023-01-25|291.0|20230108|20230128|20|동대문디자인플라자|서울 중구 을지로 281|127.009911013917|37.5671843130818
205|낙원타코x낙원스낵|타코|롯데백화점 본점|3/22~3/27|2019-03-25|293.0|20190322|20190327|5|롯데백화점 본점|서울 중구 남대문로 81|126.98175414832635|37.564905601247865
206|라인프렌즈|굿즈|현대백화점 목동점|04.07(금)-04.20(목)|2023-04-07|294.0|20230407|20230420|13|현대백화점 목동점|서울 양천구 목동동로 257|126.87525853214666|37.526654089298255
207|LG|오락실|성수동|10.21(목)-12.19(일)|2021-11-12|295.0|20211021|20211219|59|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
208|오브젝트 바이 프로젝트|굿즈|데어바타테(성수역 3번 출구 카페 자그마치 지하)|08.26(목)-09.05(일)|2021-08-28|296.0|20210826|20210905|10|데어바타테|서울 성동구 성수이로 88|127.056750139664|37.5426639544529
209|모델Y|SUV|서울역|01.13 - 01.27, ~ 02.10, 2020.12.11 ~|2021-01-15|298.0|20210127|20210210|14|서울역|서울 용산구 한강대로 405|126.970606917394|37.5546788388674
210|집-중력 연구실|팝업스토어|성수|05.02(화)-05.14(일)|2023-05-09|299.0|20230502|20230514|12|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
211|스코티쉬 쿠키&북 숍|쇼트브래드 다이어리|종로구 옥인길 26, 무용소|01.06(금)-01.29(일)|2023-01-13|300.0|20230106|20230129|23|무용소|서울 종로구 옥인길 26|126.96728176672384|37.580904147666125
212|쓰리먼스|캐릭터 굿즈|홍대 오브젝트|5/14~6/15|2019-05-29|301.0|20190514|20190615|32|오브젝트|서울 마포구 와우산로35길 13|126.9298096541413|37.55569597973931
213|트루베카라멜리에|디저트|현대백 무역센터|12/28~1/24|2019-01-01|302.0|20191228|20200124|27|현대백화점 무역센터점|서울 강남구 테헤란로 517|127.05977475920854|37.508651435836725
214|치공|친환경 제품, 칫솔, 혀클리너, 엽서, 멀티 홀더, 굿즈|마포구 양화로 188 2층 비옥|01.26(목)-02.28(화)|2023-02-02|303.0|20230126|20230228|33|비옥 a&k몰 홍대점|서울 마포구 양화로 188|126.92640104503|37.5578112477671
215|G7|베트남 커피|부산시 해운대구|12.02(금)-12.03(토)|2022-12-02|304.0|20221202|20221203|1|해운대블루라인파크 미포정거장|부산 해운대구 달맞이길62번길 13|129.17281473802996|35.15815259880406
216|파바|디저트|홍대입구역 6번 출구 오브젝트 서교점|02.11(금)-02.24(목)|2022-02-15|306.0|20220211|20220224|13|오브젝트|서울 마포구 와우산로35길 13|126.9298096541413|37.55569597973931
217|팝마트|아트토이|부산 신세계백화점 센텀시티점|03.21(화)-06.19(월)|2023-03-21|307.0|20230321|20230619|90|신세계백화점 센텀시티점|부산 해운대구 센텀남대로 35|129.12907174004943|35.16864392798528
218|탐스제로|팝업스토어|양양 레인보우비치/ 서피비치|"08.12(금)-08.14(일) : 양양 레인보우비치
08.15(월)-08.16(화) : 양양 서피비치"|2022-08-12|311.0|20220812|20220814|2|레인보우비치|강원 양양군 현북면 기사문길 8|128.730678326052|38.0059010167062
219|예일x나이스웨더|골프웨어|영등포구 여의대로 108, 더현대 서울 B2층|01.26(목)-02.08(수)|2023-01-30|312.0|20230126|20230208|13|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
220|동네서울 브랜드마켓|팝업스토어|마포구 토정로3길 13, 마음스튜디오|12.17(토)-12.18(일)|2022-12-14|313.0|20221217|20221218|1|마음스튜디오|서울 마포구 토정로3길 13|126.91420245688164|37.5462972703927
221|치공|칫솔|DDP 디자인스토어|05.01(월)-05.31(수)|2023-05-04|314.0|20230501|20230531|30|DDP디자인스토어|서울 중구 을지로 281|127.00947394696728|37.56600584627907
222|롯백 본점 커피명가|커피|롯데백화점 본점 지하 1층|04.20(화)-05.02(일)|2021-04-27|316.0|20210420|20210502|12|고디바 롯데본점|서울 중구 을지로 30|126.981794859925|37.5650533709053
223|카우리홈|가구|송파구 충민로 66, 현대시티몰 가든파이브점|4월 1일 - 5월 31일|2020-04-06|317.0|20200401|20200531|60|현대시티몰 가든파이브점|서울 송파구 충민로 66|127.12504049785139|37.47804724526708
224|'야광맨'|할로윈 용품|롯데백화점 명동 본점|10.18~10.31|2019-10-22|318.0|20191018|20191031|13|롯데백화점 본점|서울 중구 남대문로 81|126.98175414832635|37.564905601247865
225|카카움|초콜렛|반디앤루니스 센트럴시티점|2/2~2/14|2019-02-10|319.0|20190202|20190214|12|서울문고|서울 강남구 삼성로96길 6|127.05657380290177|37.50845118721468
226|GABS|에코백|롯데백화점 중동|1/7~1/13|2019-01-12|320.0|20190107|20190113|6|롯데백화점 중동점|경기 부천시 길주로 300|126.77520420831686|37.50256910703231
227|워너원|굿즈|용산|12/14~12/27|2018-12-17|322.0|20181214|20181227|13|이태원거리|서울 용산구 이태원동 119-23|126.99580922812|37.5345613066561
228|푸마|스웨이드 스니커즈와 T7 트랙 세트 트레이닝복|성동구 성수이로7길 41|03.30(목)-04.10(일)|2022-04-05|324.0|20220330|20220410|11|카시나 성수점|서울 성동구 성수이로7길 41|127.0530703479|37.5426314275779
229|오비맥주|좀비라거|이태원 경리단길 우리슈퍼|10.08(토)-10.16(일)|2022-10-14|325.0|20221008|20221016|8|우리슈퍼|서울 용산구 녹사평대로 234|126.98717468779111|37.53859266194441
230|이브자리|침구|강남구 영동대로 114길 5 이브자리 코디센 삼성점1F|01.13(금)-01.29(일)|2023-01-16|326.0|20230113|20230129|16|이브자리코디센 슬립앤슬립 삼성점|서울 강남구 영동대로114길 5|127.06041800307115|37.51528249923564
231|에이스 하드웨어|공구, 원예용품, 페인트, 캠핑용품, 워크웨어 스타일 캐쥬얼 의류|현대백화점 킨텍스점|19.11.29 ~ 20.03.31|2019-12-12|330.0|20191129|20200331|123|현대백화점 킨텍스점|경기 고양시 일산서구 호수로 817|126.75110723428448|37.66823103372243
232|몽고간장|굿즈/신제품 '매운간장'|성수|09.16(금)-09.29(목)|2022-09-16|331.0|20220916|20220929|13|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
233|MAKESOME|댄스 챌린지|관악구 남부순환로 1590-21 K-VIEW타워 B1|05.15(월)-07.02(일)|2023-05-24|332.0|20230515|20230702|48|메이크썸|서울 관악구 남부순환로 1590-21|126.92818143499|37.4833354531405
234|올데어|식물 전시|서울 영등포구 도신로 17길 6|4월 1일 - 4월 30일|2020-04-03|333.0|20200401|20200430|29|이스트우드 도림점|서울 영등포구 도신로17길 6|126.8996466789728|37.506659741644185
235|아디다스 x 구찌|스포츠|꼴라보하우스 도산|06.08(수)-06.19(일)|2022-06-14|334.0|20220608|20220619|11|꼴라보하우스 도산|서울 강남구 언주로164길 21-3|127.035228201459|37.5257353222619
236|요기보|['빈백소파', '커버분리', '스크레스볼', '스퀴지보']|현대백화점 목동|2/11~2/24|2019-02-15|336.0|20190211|20190224|13|현대백화점 목동점|서울 양천구 목동동로 257|126.87525853214666|37.526654089298255
237|울랄라1537빈티지샵|디자인문구|잠실역|12/1~12/31|2018-12-06|337.0|20181201|20181231|30|잠실역 2호선|서울 송파구 올림픽로 지하 265|127.10023101886318|37.51331105877401
238|다이슨|헤어 제품|성수|02.02(목)-02.19(일)|2023-02-08|338.0|20230202|20230219|17|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
239|커피팩토리|모카빵|롯데백화점 일산|3/29~4/11|2019-04-08|340.0|20190329|20190411|13|롯데백화점 일산점|경기 고양시 일산동구 중앙로 1283|126.77213362798275|37.66047104881414
240|무직타이거|도넛|경기 파주시 지목로 137, 말똥도넛|02.17(금)-03.08(수)|2023-02-21|343.0|20230217|20230308|19|말똥도넛 파주점|경기 파주시 지목로 137|126.704525685412|37.7303618267544
241|카페슈슈|마늘빵과러스크|신세계 강남|2/1~2/28|2019-02-16|345.0|20190201|20190228|27|신세계백화점 강남점|서울 서초구 신반포로 176|127.00432032924516|37.505305732081965
242|링고라벨|스티커&굿즈|롯데몰 김포공항점 GF층|05.28(금)-07.31(토)|2021-06-25|346.0|20210528|20210731|64|롯데몰 김포공항점|서울 강서구 하늘길 지하 77|126.803148162496|37.5633661796519
243|K-헤리티지|전통문화상품|현대백화점 압구정 본점|05.17(월)-05.23(일)|2021-05-21|347.0|20210517|20210523|6|현대백화점 압구정본점|서울 강남구 압구정로 165|127.02747045214494|37.527371799149506
244|마루콜렉트|스타트업 브랜드의 혁신 제품|강남구 역삼로 180, MARU180 1층 로비|10.31(월)-12.23(금)|2022-12-19|348.0|20221031|20221223|53|쿠딩|서울 강남구 역삼로 180|127.038859761514|37.4954550276094
245|도구리 오피스|팝업스토어|코엑스|05.03(수)-05.16(화)|2023-05-08|349.0|20230503|20230516|13|코엑스|서울 강남구 영동대로 513|127.05882784390123|37.51266138067201
246|아디다스|슈퍼스타|태극당 본점|06.13(월)-06.30(목)|2022-06-21|350.0|20220613|20220630|17|태극당|서울 중구 동호로24길 7|127.005070441384|37.5595045265869
247|짱구X스파오|굿즈, 초코비, 짱구 과자, 스파오 잠옷|현대백화점 유플렉스 신촌점 지하2층|09.24(금)-10.03(일)|2021-09-24|352.0|20210924|20211003|9|현대백화점유플렉스 신촌점|서울 서대문구 연세로 13|126.93661730245256|37.55673777941326
248|아서앤그레이스|가죽 가방|갤러리아백화점 웨스트점 서울 강남구 압구정로 343|11.29 ~ 12.31|2019-12-10|353.0|20191129|20191231|32|갤러리아백화점 WEST점|서울 강남구 압구정로 343|127.04014394421372|37.52842774945761
249|야쿤카야토스트|카야버터토스트, 야쿤밀크티|롯데백화점 서면 본점|4월 24일 - 5월 7일|2020-04-29|354.0|20200424|20200507|13|나이키 롯데백화점부산본점|부산 부산진구 가야대로 772|129.0565733853796|35.156813178256805
250|블랑제리뵈르|맥주|강남구 테헤란로 517 현백 무역센터점 B1|08.01(월)-08.14(일)|2022-08-05|355.0|20220801|20220814|13|현대백화점 무역센터점|서울 강남구 테헤란로 517|127.05977475920854|37.508651435836725
251|플라스틱프로덕트|생활 용품|대구 삼성생명빌딩|09.01(목)-10.09(일)|2022-09-20|356.0|20220901|20221009|38|삼성생명빌딩|대구 중구 달구벌대로 2095|128.592802107004|35.8662950005005
252|ARK|맥주|성수|06.17(금)-07.03(일)|2022-06-23|358.0|20220617|20220703|16|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
253|하얀바늘|업사이클 제품|성수|3/29(화)-5/1(일)|2022-04-13|360.0|20220329|20220501|33|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
254|하이트진로|맥주|강남구 강남대로 420|04.20(목)-05.21(일)|2023-04-21|361.0|20230420|20230521|31|두껍상회 강남|서울 강남구 강남대로 420|127.02704431689625|37.50018049799446
255|스와로브스키|주얼리|영등포타임스퀘어|11/29~12/25|2018-12-04|362.0|20181129|20181225|26|타임스퀘어|서울 영등포구 영중로 15|126.90307140055172|37.51710523750273
256|풀티|가구|영등포구 여의대로 108, B1 이벤트홀|05.26(금)-05.31(수)|2023-05-26|363.0|20230526|20230531|5|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
257|mimi monde|원피스, 악세서리, 핸드페인팅 도자기|마포구 연남동 동교로29길 34 연남방앗간 1층|07.08(금)-07.13(수)|2022-07-08|364.0|20220708|20220713|5|연남방앗간|서울 마포구 동교로29길 34|126.923162089564|37.5620564830099
258|스푼즈|캐릭터 상품|홍대 네코코치|2/9~2/17|2019-02-13|365.0|20190209|20190217|8|홍익대학교 서울캠퍼스|서울 마포구 와우산로 94|126.925554591431|37.550874837441
259|디즈니|아동 Family 상품|경기도 하남시 미사대로 750 신세계백화점 스타필드 하남점 1층 중앙광장|12.16(금)-12.29(목)|2022-12-20|366.0|20221216|20221229|13|신세계백화점 스타필드하남점|경기 하남시 미사대로 750|127.222316615387|37.5459713959057
260|SF9|팝업 브랜드관|서울 송파구 롯데시네마 월드타워점 내 비브스테이션|1월 8일 - 2월 2일|2020-01-16|368.0|20200108|20200202|25|롯데시네마 월드타워|서울 송파구 올림픽로 300|127.10506857715367|37.51401684559573
261|피너츠|굿즈|서대문구 연세로 13, 현대백화점 신촌점 유플렉스 B2|05.05(금)-05.14(일)|2023-05-05|369.0|20230505|20230514|9|현대백화점유플렉스 신촌점|서울 서대문구 연세로 13|126.93661730245256|37.55673777941326
262|인유즈|마스크, 가방, 지갑|성수|10.20(목)-10.30(일)|2022-10-20|371.0|20221020|20221030|10|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
263|현대자동차|자동차|종로구 익선동 137-6 루프스테이션 익선|05.19(목)-06.06(일)|2022-05-28|372.0|20220519|20220606|18|루프스테이션 익선|서울 종로구 삼일대로28길 28|126.98927869936|37.5739534201755
