|id|subway_name|subway_line|distance|x|y
49|13|홍대입구역|공항철도|627|126.927010430346|37.5573052656667
50|13|홍대입구역|경의중앙선|619|126.927118938976|37.5574494922411
51|14|이태원역|6호선|597|126.994333861918|37.5345252050511
52|14|한강진역|6호선|284|127.001765135176|37.5397907743775
53|15|홍대입구역|2호선|547|126.923778562273|37.5568707448873
54|15|홍대입구역|공항철도|543|126.927010430346|37.5573052656667
55|15|홍대입구역|경의중앙선|532|126.927118938976|37.5574494922411
56|16|국회의사당역|9호선|971|126.91783895106|37.5281465047706
57|16|샛강역|9호선|943|126.9283750591322|37.51737287009036
58|16|샛강역|신림선|970|126.929463427672|37.5171662943088
59|16|여의나루역|5호선|425|126.93298596744|37.5271469489465
60|16|여의도역|9호선|620|126.92466104293|37.5211700890445
61|16|여의도역|5호선|578|126.924397990207|37.5217753947299
62|17|몽촌토성역|8호선|903|127.11286534895457|37.5178055794687
63|17|석촌역|8호선|950|127.107004062699|37.5054141216925
64|17|석촌역|9호선|991|127.10676479806769|37.504972845773686
65|17|송파나루역|9호선|813|127.11266171422027|37.51101671275264
66|17|잠실나루역|2호선|783|127.103808749487|37.5207124124456
67|17|잠실역|2호선|342|127.10023101886318|37.51331105877401
68|17|잠실역|8호선|102|127.103270523629|37.5143121584933
69|18|강남역|2호선|247|127.02800140627488|37.49808633653005
70|18|강남역|신분당선|390|127.028185245594|37.4967771303817
71|18|신논현역|9호선|531|127.025492036104|37.504811111562
72|18|신논현역|신분당선|425|127.024926154562|37.5036164990854
73|18|역삼역|2호선|835|127.03646946847|37.5006744185994
74|19|뚝섬역|2호선|388|127.04738727881|37.547241554679
75|19|서울숲역|수인분당선|330|127.044746216358|37.543645796605
76|19|응봉역|경의중앙선|863|127.034483653629|37.5499526279456
77|20|한강진역|6호선|452|127.001765135176|37.5397907743775
78|20|한남역|경의중앙선|902|127.009209110584|37.5294289189437
79|21|판교역|신분당선|232|127.11119782955879|37.39477752734142
80|21|판교역|경강선|219|127.111982699564|37.394775885643
81|22|뚝섬역|2호선|396|127.04738727881|37.547241554679
82|22|서울숲역|수인분당선|497|127.044746216358|37.543645796605
83|22|응봉역|경의중앙선|784|127.034483653629|37.5499526279456
84|22|한양대역|2호선|869|127.043639802768|37.5557159860408
85|23|국회의사당역|9호선|971|126.91783895106|37.5281465047706
86|23|샛강역|9호선|943|126.9283750591322|37.51737287009036
87|23|샛강역|신림선|970|126.929463427672|37.5171662943088
88|23|여의나루역|5호선|425|126.93298596744|37.5271469489465
89|23|여의도역|9호선|620|126.92466104293|37.5211700890445
90|23|여의도역|5호선|578|126.924397990207|37.5217753947299
91|24|국회의사당역|9호선|971|126.91783895106|37.5281465047706
92|24|샛강역|9호선|943|126.9283750591322|37.51737287009036
93|24|샛강역|신림선|970|126.929463427672|37.5171662943088
94|24|여의나루역|5호선|425|126.93298596744|37.5271469489465
95|24|여의도역|9호선|620|126.92466104293|37.5211700890445
96|24|여의도역|5호선|578|126.924397990207|37.5217753947299
97|26|안국역|3호선|513|126.98542143228659|37.57650192060523
98|26|을지로3가역|2호선|800|126.99098443539428|37.56629149790628
99|26|을지로3가역|3호선|817|126.992615486076|37.5664312655685
100|26|을지로4가역|5호선|979|126.99804517954063|37.567564032148596
101|26|종각역|1호선|684|126.98315081716676|37.570227990912244
